Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,865.000000,869.500000,840.799988,863.799988,863.799988,2104161
2023-08-16,857.700012,881.000000,855.799988,874.450012,874.450012,1921859
2023-08-17,876.849976,890.400024,864.049988,865.950012,865.950012,2666664
2023-08-18,865.650024,874.599976,853.200012,859.849976,859.849976,2240424
2023-08-21,848.799988,856.900024,830.250000,837.950012,837.950012,2672746
2023-08-22,844.549988,861.950012,842.750000,857.349976,857.349976,1890624
2023-08-23,863.000000,916.150024,863.000000,904.750000,904.750000,7713906
2023-08-24,926.000000,931.950012,898.200012,904.450012,904.450012,6949762
2023-08-25,919.000000,938.650024,888.000000,899.200012,899.200012,7801009
2023-08-28,903.150024,905.299988,866.400024,882.799988,882.799988,4182743
2023-08-29,879.400024,881.000000,850.000000,852.900024,852.900024,4731257
2023-08-30,860.000000,868.000000,853.000000,861.750000,861.750000,4854891
2023-08-31,862.950012,866.150024,851.000000,853.900024,853.900024,2056652
2023-09-01,855.400024,874.750000,850.599976,857.400024,857.400024,2857480
2023-09-04,865.000000,865.000000,850.000000,856.700012,856.700012,2293054
2023-09-05,867.000000,889.000000,863.299988,881.099976,881.099976,2722237
2023-09-06,884.549988,902.900024,882.400024,898.799988,898.799988,3674372
2023-09-07,901.000000,902.349976,883.000000,894.349976,894.349976,2203577
2023-09-08,894.349976,919.500000,883.400024,905.400024,905.400024,2529568
2023-09-11,920.000000,921.000000,896.000000,904.400024,904.400024,2198944
2023-09-12,905.000000,913.450012,854.849976,864.549988,864.549988,2897750
2023-09-13,868.549988,877.950012,825.000000,838.250000,838.250000,4053655
2023-09-14,849.799988,867.349976,848.000000,856.549988,856.549988,2340206
2023-09-15,858.000000,896.200012,858.000000,885.150024,885.150024,10300254
2023-09-18,881.900024,885.500000,870.000000,873.200012,873.200012,1789388
2023-09-20,861.650024,863.799988,850.099976,853.349976,853.349976,1473808
2023-09-21,852.000000,858.700012,835.349976,841.049988,841.049988,1195092
2023-09-22,845.000000,854.599976,835.099976,850.000000,850.000000,1080524
2023-09-25,846.400024,873.000000,834.299988,848.450012,848.450012,2665545
2023-09-26,845.000000,856.799988,842.400024,852.299988,852.299988,869703
2023-09-27,850.000000,856.799988,847.700012,853.200012,853.200012,686017
2023-09-28,853.200012,858.000000,847.200012,854.400024,854.400024,673933
2023-09-29,858.049988,862.000000,854.400024,857.700012,857.700012,712361
2023-10-03,856.000000,880.250000,855.000000,876.599976,876.599976,1816743
2023-10-04,873.900024,874.799988,850.099976,863.099976,863.099976,1213688
2023-10-05,867.000000,902.000000,863.900024,895.099976,895.099976,2705895
2023-10-06,904.500000,936.700012,902.000000,928.299988,928.299988,6872469
2023-10-09,917.500000,928.299988,891.000000,905.200012,905.200012,2468269
2023-10-10,909.950012,955.000000,909.950012,949.700012,949.700012,4540273
2023-10-11,950.000000,978.000000,946.000000,971.750000,971.750000,4518522
2023-10-12,981.000000,983.549988,951.549988,957.549988,957.549988,2305028
2023-10-13,949.950012,967.950012,929.000000,933.099976,933.099976,2483633
2023-10-16,939.299988,944.000000,925.000000,937.849976,937.849976,1722235
2023-10-17,941.000000,946.299988,928.000000,941.549988,941.549988,2007371
2023-10-18,943.000000,951.799988,935.150024,947.950012,947.950012,1824228
2023-10-19,952.000000,976.750000,935.700012,968.450012,968.450012,3735586
2023-10-20,969.750000,998.299988,961.900024,987.650024,987.650024,5799353
2023-10-23,987.000000,992.000000,881.200012,923.700012,923.700012,7406062
2023-10-25,927.049988,937.400024,885.200012,916.500000,916.500000,4787552
2023-10-26,911.200012,911.400024,870.000000,875.950012,875.950012,3276337
2023-10-27,885.849976,916.700012,883.099976,896.349976,896.349976,2716127
2023-10-30,904.900024,939.049988,896.000000,922.599976,922.599976,2595660
2023-10-31,942.000000,952.650024,912.250000,920.750000,920.750000,2913980
2023-11-01,920.000000,927.950012,908.000000,913.349976,913.349976,1618045
2023-11-02,925.000000,928.849976,913.549988,921.250000,921.250000,1494872
2023-11-03,926.000000,928.799988,896.650024,904.049988,904.049988,2856328
2023-11-06,913.849976,915.000000,876.049988,880.650024,880.650024,3495725
2023-11-07,885.000000,893.950012,876.650024,881.650024,881.650024,2570771
2023-11-08,885.000000,906.450012,884.599976,896.150024,896.150024,2394902
2023-11-09,900.950012,904.450012,890.400024,894.549988,894.549988,996019
2023-11-10,894.549988,898.349976,880.200012,894.150024,894.150024,1271320
2023-11-13,891.000000,899.000000,891.000000,894.650024,894.650024,860179
2023-11-15,915.000000,924.950012,903.900024,919.099976,919.099976,3802638
2023-11-16,920.000000,922.849976,898.000000,905.349976,905.349976,2798897
2023-11-17,892.950012,893.299988,870.900024,888.400024,888.400024,5542250
2023-11-20,895.000000,905.250000,890.549988,901.349976,901.349976,2310524
2023-11-21,906.950012,917.549988,894.000000,912.450012,912.450012,2460649
2023-11-22,916.500000,922.400024,910.000000,918.750000,918.750000,2331673
2023-11-23,918.799988,926.950012,910.200012,923.400024,923.400024,1955827
2023-11-24,920.000000,920.000000,877.150024,892.549988,892.549988,21100108
2023-11-28,891.000000,895.000000,878.150024,888.650024,888.650024,4586218
2023-11-29,892.000000,893.950012,862.099976,867.349976,867.349976,4417771
2023-11-30,877.000000,886.500000,862.450012,875.849976,875.849976,30547550
2023-12-01,875.849976,884.150024,867.200012,870.650024,870.650024,1199062
2023-12-04,878.349976,881.150024,853.150024,855.400024,855.400024,1891411
2023-12-05,860.000000,867.000000,837.000000,839.400024,839.400024,2312043
2023-12-06,845.000000,847.000000,810.049988,813.049988,813.049988,4786923
2023-12-07,728.849976,728.849976,650.450012,661.349976,661.349976,36830243
2023-12-08,669.700012,679.849976,637.000000,651.250000,651.250000,15279182
2023-12-11,664.900024,667.000000,651.200012,656.650024,656.650024,5245093
2023-12-12,655.000000,658.000000,614.799988,616.549988,616.549988,15726788
2023-12-13,616.549988,616.750000,592.700012,600.000000,600.000000,14813146
2023-12-14,605.000000,616.400024,603.200012,606.150024,606.150024,7805126
2023-12-15,600.000000,609.450012,599.049988,606.099976,606.099976,5549270
2023-12-18,610.000000,624.000000,607.000000,615.799988,615.799988,9516903
2023-12-19,623.950012,626.000000,618.299988,622.700012,622.700012,4880996
2023-12-20,627.900024,635.950012,610.000000,615.150024,615.150024,14409676
2023-12-21,615.000000,641.049988,606.049988,638.500000,638.500000,7428551
2023-12-22,646.000000,650.599976,635.099976,642.200012,642.200012,5075390
2023-12-26,643.900024,644.900024,630.000000,631.799988,631.799988,3785953
2023-12-27,635.000000,641.950012,630.150024,634.849976,634.849976,2095270
2023-12-28,639.000000,640.500000,631.150024,634.049988,634.049988,1809403
2023-12-29,634.099976,643.000000,631.349976,635.450012,635.450012,2488030
2024-01-01,637.000000,648.849976,636.650024,646.099976,646.099976,3043220
2024-01-02,648.000000,654.000000,641.099976,651.099976,651.099976,3129266
2024-01-03,654.000000,678.750000,648.349976,673.700012,673.700012,8321160
2024-01-04,675.500000,677.000000,664.250000,668.700012,668.700012,3098366
2024-01-05,674.700012,688.000000,672.000000,685.150024,685.150024,5866520
2024-01-08,687.000000,702.950012,684.200012,690.549988,690.549988,5801579
2024-01-09,697.000000,699.700012,676.200012,685.700012,685.700012,3520802
2024-01-10,688.000000,693.849976,681.500000,685.150024,685.150024,2210109
2024-01-11,690.000000,691.650024,678.950012,684.849976,684.849976,1810884
2024-01-12,686.000000,696.000000,684.400024,692.450012,692.450012,2490143
2024-01-15,692.450012,692.450012,692.450012,692.450012,692.450012,0
2024-01-16,720.000000,750.000000,719.200012,747.349976,747.349976,10245974
2024-01-17,742.000000,769.950012,731.400024,736.250000,736.250000,6597524
2024-01-18,736.000000,759.599976,721.549988,754.299988,754.299988,5994981
2024-01-19,760.500000,789.000000,758.000000,773.599976,773.599976,7874584
2024-01-23,793.000000,793.000000,736.599976,755.900024,755.900024,8164301
2024-01-24,754.000000,759.799988,744.400024,753.750000,753.750000,4201784
